,auc,prauc,model,assignment,k,iteration
0,0.873980235354766,0.031172815892791722,BiAA,soft,2,0
1,0.8739866427791045,0.031149991698776195,SBM,soft,2,0
2,0.8783388033054002,0.03518625658328639,DBiAA,soft,2,0
3,0.8788526088290503,0.03476263141859297,DSBM,soft,2,0
4,0.8168782469254197,0.011927431655531898,BiAA,hard,2,0
5,0.8168782469254197,0.011927431655531898,SBM,hard,2,0
6,0.874562994746313,0.03141626733853754,DBiAA,hard,2,0
7,0.8739544598135719,0.031222767442380697,DSBM,hard,2,0
8,0.878432202856028,0.03923592116093047,BiAA,soft,3,0
9,0.8787712617312726,0.03474230272168601,SBM,soft,3,0
10,0.882022262521891,0.046744963617795225,DBiAA,soft,3,0
11,0.8788376354367509,0.034727359050482645,DSBM,soft,3,0
12,0.8503888715624981,0.018007829901807257,BiAA,hard,3,0
13,0.8496615718680988,0.018103107017984395,SBM,hard,3,0
14,0.8760608138230374,0.033782362241067225,DBiAA,hard,3,0
15,0.8740939991105775,0.03123288566131958,DSBM,hard,3,0
16,0.8824162535825378,0.043487136000285545,BiAA,soft,4,0
17,0.8788614245665717,0.03474981772299087,SBM,soft,4,0
18,0.8862003825304681,0.05373215121414221,DBiAA,soft,4,0
19,0.883680257292427,0.0452468820043864,DSBM,soft,4,0
20,0.8614644106798414,0.021130017375469278,BiAA,hard,4,0
21,0.8614190404959516,0.021129321099736004,SBM,hard,4,0
22,0.8765275944263383,0.03563091672875553,DBiAA,hard,4,0
23,0.8741350994843622,0.0312427660697446,DSBM,hard,4,0
24,0.882620072691986,0.04894094589302583,BiAA,soft,5,0
25,0.8852967614074081,0.04734556306864028,SBM,soft,5,0
26,0.886305671061032,0.05550026179503574,DBiAA,soft,5,0
27,0.8866922633472256,0.05483819608306214,DSBM,soft,5,0
28,0.8669659893495716,0.024834333592247456,BiAA,hard,5,0
29,0.8667337891838754,0.02326338957364444,SBM,hard,5,0
30,0.8741638637150604,0.031249303068793147,DBiAA,hard,5,0
31,0.874164375661178,0.031236702229425525,DSBM,hard,5,0
32,0.8843439088265683,0.053116657384486204,BiAA,soft,6,0
33,0.882804095433198,0.044413961740009986,SBM,soft,6,0
34,0.8871414145889646,0.0558030605146403,DBiAA,soft,6,0
35,0.8859383323301013,0.05586896758807042,DSBM,soft,6,0
36,0.8696981653516822,0.027223664011161355,BiAA,hard,6,0
37,0.8695582647362616,0.027171607614336755,SBM,hard,6,0
38,0.8762449218201313,0.036216701526200726,DBiAA,hard,6,0
39,0.8718303767894343,0.03121000531115271,DSBM,hard,6,0
40,0.8857646226884645,0.053222023791604796,BiAA,soft,7,0
41,0.885578156051824,0.053826583755851864,SBM,soft,7,0
42,0.8863076461381243,0.05607552863960116,DBiAA,soft,7,0
43,0.886089691378006,0.05663113885946347,DSBM,soft,7,0
44,0.8702770015621666,0.02805702982607078,BiAA,hard,7,0
45,0.8690624805951146,0.026545376478449057,SBM,hard,7,0
46,0.8764140241110425,0.03573216009737552,DBiAA,hard,7,0
47,0.8746155160577054,0.03534437179758978,DSBM,hard,7,0
48,0.8852585636729797,0.055655651861240045,BiAA,soft,8,0
49,0.8857296475095033,0.05669474845824315,SBM,soft,8,0
50,0.8861495399478743,0.057808357263459384,DBiAA,soft,8,0
51,0.8853613140505412,0.059294883222638234,DSBM,soft,8,0
52,0.870537977763011,0.027491968488922196,BiAA,hard,8,0
53,0.8702516642965505,0.02702833384506817,SBM,hard,8,0
54,0.8785288104964227,0.04049851004678178,DBiAA,hard,8,0
55,0.8716203463345895,0.03124229120317537,DSBM,hard,8,0
56,0.8862056294623544,0.058912479530567524,BiAA,soft,9,0
57,0.8864874486150545,0.05535006511556599,SBM,soft,9,0
58,0.8871738032148536,0.05952693714332861,DBiAA,soft,9,0
59,0.887661845722991,0.060262122164141896,DSBM,soft,9,0
60,0.8705292170444509,0.028420225990372725,BiAA,hard,9,0
61,0.8687617046006259,0.02726840713633815,SBM,hard,9,0
62,0.8766316153434043,0.035919484563776576,DBiAA,hard,9,0
63,0.8716413386999229,0.03155132061903768,DSBM,hard,9,0
64,0.8750106847203433,0.03150578988823435,BiAA,soft,2,1
65,0.8750138230650936,0.03147916006816457,SBM,soft,2,1
66,0.8790426660116338,0.03978358452346302,DBiAA,soft,2,1
67,0.8792024387284124,0.03523632079293484,DSBM,soft,2,1
68,0.8171092085305263,0.011976032834300699,BiAA,hard,2,1
69,0.8168053143075854,0.011976032834300699,SBM,hard,2,1
70,0.8749191395273277,0.03155163668003394,DBiAA,hard,2,1
71,0.8748580404649443,0.031548536936369956,DSBM,hard,2,1
72,0.8786786163849225,0.03604752606700837,BiAA,soft,3,1
73,0.8789304022266824,0.03518286573393677,SBM,soft,3,1
74,0.8819743539484489,0.04552477882875122,DBiAA,soft,3,1
75,0.8824108113216235,0.043039335036864405,DSBM,soft,3,1
76,0.8513267667048858,0.018099699284399792,BiAA,hard,3,1
77,0.8512475141712321,0.018090963104352806,SBM,hard,3,1
78,0.8763536472183714,0.032804940759844706,DBiAA,hard,3,1
79,0.8748783094328113,0.031530729584091324,DSBM,hard,3,1
80,0.8822243012833855,0.04297222415931967,BiAA,soft,4,1
81,0.8790423239687406,0.035153751355052595,SBM,soft,4,1
82,0.8854496602159316,0.051192240482996865,DBiAA,soft,4,1
83,0.8846452062214378,0.051345527059877556,DSBM,soft,4,1
84,0.8621671469482989,0.021385745877240292,BiAA,hard,4,1
85,0.8621671469482989,0.021380902457083194,SBM,hard,4,1
86,0.8776845140211462,0.03519859302225212,DBiAA,hard,4,1
87,0.8749154754941494,0.03152356303510563,DSBM,hard,4,1
88,0.8821742648747095,0.0447982513998995,BiAA,soft,5,1
89,0.8819243731076934,0.04356097513290244,SBM,soft,5,1
90,0.8854041478775964,0.05295944815029968,DBiAA,soft,5,1
91,0.8845043350456964,0.05103888796756455,DSBM,soft,5,1
92,0.8679602380880318,0.025217990204931134,BiAA,hard,5,1
93,0.8679218374155097,0.02387550362885437,SBM,hard,5,1
94,0.877346075302698,0.03471635922661016,DBiAA,hard,5,1
95,0.8749265913033563,0.031489350392479735,DSBM,hard,5,1
96,0.8853557713012579,0.050097844058552665,BiAA,soft,6,1
97,0.8846842131152096,0.05123769013975625,SBM,soft,6,1
98,0.8861298390370187,0.05448032079797688,DBiAA,soft,6,1
99,0.8854926134509462,0.052875140539596036,DSBM,soft,6,1
100,0.8712784958832281,0.02711237846396477,BiAA,hard,6,1
101,0.8712769907336688,0.027096224649540417,SBM,hard,6,1
102,0.8777501413618999,0.035109701464222105,DBiAA,hard,6,1
103,0.8726762232855235,0.03150196272625856,DSBM,hard,6,1
104,0.8850125216399953,0.05161092087214888,BiAA,soft,7,1
105,0.8847370796316163,0.05101851019281743,SBM,soft,7,1
106,0.8859676973001466,0.05419906452122067,DBiAA,soft,7,1
107,0.8846777481061082,0.053852336439112115,DSBM,soft,7,1
108,0.8705276185569523,0.02758878989871045,BiAA,hard,7,1
109,0.8700489991131372,0.027362950669508106,SBM,hard,7,1
110,0.8778679516221544,0.035972521169214115,DBiAA,hard,7,1
111,0.873196290485828,0.03149484039355462,DSBM,hard,7,1
112,0.8856658555721533,0.05351417698672845,BiAA,soft,8,1
113,0.8851536541293432,0.05249250379403923,SBM,soft,8,1
114,0.8858693474766958,0.05455835222193786,DBiAA,soft,8,1
115,0.8868970964174137,0.05539255135341527,DSBM,soft,8,1
116,0.8712517094132625,0.027953072783589834,BiAA,hard,8,1
117,0.8713025300323274,0.027925002304177077,SBM,hard,8,1
118,0.8728548435380089,0.0315815249907981,DBiAA,hard,8,1
119,0.8727399621211183,0.03150278147193151,DSBM,hard,8,1
120,0.8865971382418065,0.054515793130698584,BiAA,soft,9,1
121,0.885269675364814,0.05457449109344352,SBM,soft,9,1
122,0.8872115223513078,0.05626833520595866,DBiAA,soft,9,1
123,0.8857374614399867,0.05719142293592696,DSBM,soft,9,1
124,0.8716271462602314,0.02913663139498244,BiAA,hard,9,1
125,0.8685640952520246,0.02772488719058214,SBM,hard,9,1
126,0.877842265398844,0.035072821356339136,DBiAA,hard,9,1
127,0.8724981038022566,0.0316724734851215,DSBM,hard,9,1
128,0.8743776739049964,0.030878004087193094,BiAA,soft,2,2
129,0.8743833806192454,0.030879884057558017,SBM,soft,2,2
130,0.8788672913249362,0.03552978639363517,DBiAA,soft,2,2
131,0.8789289796116915,0.03778700263431277,DSBM,soft,2,2
132,0.8157126545289657,0.011950207693748605,BiAA,hard,2,2
133,0.8150295579300137,0.011963775542552568,SBM,hard,2,2
134,0.8746860139119741,0.03100687099387414,DBiAA,hard,2,2
135,0.874255576360482,0.030884246552462875,DSBM,hard,2,2
136,0.8784403153099957,0.0343310186815855,BiAA,soft,3,2
137,0.8788257963790833,0.037893431239146284,SBM,soft,3,2
138,0.8823561488158529,0.0452039401074255,DBiAA,soft,3,2
139,0.881508129417815,0.04346479012456893,DSBM,soft,3,2
140,0.8485675009361786,0.017721449879840312,BiAA,hard,3,2
141,0.8483566620415479,0.017578158174689072,SBM,hard,3,2
142,0.8765353744883883,0.03414159369761636,DBiAA,hard,3,2
143,0.8742553155226207,0.030922821428568968,DSBM,hard,3,2
144,0.8821061033033,0.04531609199262576,BiAA,soft,4,2
145,0.881662660911835,0.04060131962992717,SBM,soft,4,2
146,0.8848095390119853,0.05318470761440138,DBiAA,soft,4,2
147,0.8846010648031122,0.05204412775601773,DSBM,soft,4,2
148,0.8625682072685206,0.020879386644331727,BiAA,hard,4,2
149,0.8624308946220366,0.021091320592993262,SBM,hard,4,2
150,0.8744311457443005,0.030930557519548867,DBiAA,hard,4,2
151,0.8743446413008102,0.030905748411964907,DSBM,hard,4,2
152,0.8805661880703848,0.04511069808602575,BiAA,soft,5,2
153,0.8810370154504331,0.044926307996616587,SBM,soft,5,2
154,0.884567628145039,0.0553625968267342,DBiAA,soft,5,2
155,0.8846368831457968,0.05354153000688689,DSBM,soft,5,2
156,0.8673388215189203,0.02482113515415758,BiAA,hard,5,2
157,0.8670473170586235,0.0235665673854842,SBM,hard,5,2
158,0.8764477312541606,0.03280181630571325,DBiAA,hard,5,2
159,0.8742622004419293,0.030895279667124558,DSBM,hard,5,2
160,0.8847088908007718,0.049708284452963256,BiAA,soft,6,2
161,0.884582356866057,0.05121574027700958,SBM,soft,6,2
162,0.8860519916818826,0.057482554996060864,DBiAA,soft,6,2
163,0.8852053198426091,0.05571062649259609,DSBM,soft,6,2
164,0.8704225150815379,0.027080622987501902,BiAA,hard,6,2
165,0.867316212349552,0.024654292578747333,SBM,hard,6,2
166,0.8767424305991921,0.03411723216718929,DBiAA,hard,6,2
167,0.8760268632259751,0.03515845972650171,DSBM,hard,6,2
168,0.8844422617328704,0.052862823688906664,BiAA,soft,7,2
169,0.8848693081044308,0.05353493316917614,SBM,soft,7,2
170,0.8856131147339776,0.05533023833527294,DBiAA,soft,7,2
171,0.8843574207655804,0.056080254652779986,DSBM,soft,7,2
172,0.8699147515768596,0.027690810158363822,BiAA,hard,7,2
173,0.8691762818246034,0.026704305932186877,SBM,hard,7,2
174,0.8792953901822017,0.036921488677967386,DBiAA,hard,7,2
