,auc,prauc,model,assignment,k,iteration
0,0.8325834013619358,0.014404945584747027,BiSBM_VB,soft,2,0
1,0.8618506158613326,0.02171176140853512,BiSBM_VB,soft,3,0
2,0.8680028589975475,0.02480436346247416,BiSBM_VB,soft,4,0
3,0.8710859645730049,0.026789715836649235,BiSBM_VB,soft,5,0
4,0.8727009071455127,0.03031663562546079,BiSBM_VB,soft,6,0
5,0.8735593348638516,0.03201323270150338,BiSBM_VB,soft,7,0
6,0.8743138171341764,0.03510619746697509,BiSBM_VB,soft,8,0
7,0.8750265566239744,0.03690584556096855,BiSBM_VB,soft,9,0
8,0.8330635865768695,0.014541989357069747,BiSBM_VB,soft,2,1
9,0.8629918285431255,0.02188673327957503,BiSBM_VB,soft,3,1
10,0.8688519316754925,0.025093873509913524,BiSBM_VB,soft,4,1
11,0.8718352952106745,0.029042668499161445,BiSBM_VB,soft,5,1
12,0.8741161334239507,0.03090691049522342,BiSBM_VB,soft,6,1
13,0.8745993121512262,0.03223593055982228,BiSBM_VB,soft,7,1
14,0.875369938134628,0.03359140918373668,BiSBM_VB,soft,8,1
15,0.8766735158020934,0.03725908028419472,BiSBM_VB,soft,9,1
16,0.8319050384626205,0.014357922054651136,BiSBM_VB,soft,2,2
17,0.8606564972769166,0.02149223081338645,BiSBM_VB,soft,3,2
18,0.8686284839190364,0.024673206672869756,BiSBM_VB,soft,4,2
19,0.8717484101451315,0.029080520801499924,BiSBM_VB,soft,5,2
20,0.8732544871871408,0.03036125269933848,BiSBM_VB,soft,6,2
21,0.8737026483315465,0.0314093471290693,BiSBM_VB,soft,7,2
22,0.8746889329603968,0.0332375645567352,BiSBM_VB,soft,8,2
23,0.8756622955147833,0.03649362682274539,BiSBM_VB,soft,9,2
24,0.8302460127829743,0.014245958203738692,BiSBM_VB,soft,2,3
25,0.8590311948774518,0.02104619995892578,BiSBM_VB,soft,3,3
26,0.8668079524843973,0.02418947325625554,BiSBM_VB,soft,4,3
27,0.869060923976231,0.02827412223505705,BiSBM_VB,soft,5,3
