,auc,prauc,model,assignment,k,iteration
0,0.8311207958583464,0.02949355136992288,BiAA,soft,2,0
1,0.8264293903594038,0.024187119226967792,SBM,soft,2,0
2,0.8352709948941442,0.03860109153930551,DBiAA,soft,2,0
3,0.789074750582153,0.0386004333441317,DSBM,soft,2,0
4,0.790759611755574,0.014521828953880754,BiAA,hard,2,0
5,0.790759611755574,0.014521828953880754,SBM,hard,2,0
6,0.8243375561679736,0.02596925246894421,DBiAA,hard,2,0
7,0.8243379122248571,0.02596928429300781,DSBM,hard,2,0
8,0.8351791322181631,0.038133675180449536,BiAA,soft,3,0
9,0.8356028399097041,0.02731324869221498,SBM,soft,3,0
10,0.8565852720630648,0.03770692881987829,DBiAA,soft,3,0
11,0.8504981235802233,0.04580075756027427,DSBM,soft,3,0
12,0.8198985949995372,0.02018684049549891,BiAA,hard,3,0
13,0.7570673730835238,0.012235415923525384,SBM,hard,3,0
14,0.851654596338311,0.028524752609950146,DBiAA,hard,3,0
15,0.8516780960926317,0.028502022834031887,DSBM,hard,3,0
16,0.8486345218512109,0.04563320270605847,BiAA,soft,4,0
17,0.8373201022595371,0.032447468184340564,SBM,soft,4,0
18,0.8700549039714585,0.03867190268007956,DBiAA,soft,4,0
19,0.8460570260704853,0.03700647274158612,DSBM,soft,4,0
20,0.8609049541754791,0.02503716661297962,BiAA,hard,4,0
21,0.8430027701225549,0.021708664069752477,SBM,hard,4,0
22,0.8613678281242212,0.035594194775107724,DBiAA,hard,4,0
23,0.8548245707734268,0.030707833758881142,DSBM,hard,4,0
24,0.877698733149608,0.04164277901576728,BiAA,soft,5,0
25,0.8792803378267713,0.040480786496914826,SBM,soft,5,0
26,0.8657701154336417,0.04661866694254091,DBiAA,soft,5,0
27,0.870294886311037,0.039080322578186256,DSBM,soft,5,0
28,0.8552657252522664,0.02750155596304969,BiAA,hard,5,0
29,0.8160325293568901,0.02224400479035506,SBM,hard,5,0
30,0.8621045098164883,0.045296605955871656,DBiAA,hard,5,0
31,0.8440257215492748,0.0291270283021627,DSBM,hard,5,0
32,0.8794419876519474,0.0428092295303135,BiAA,soft,6,0
33,0.8578756222094042,0.03486683507467815,SBM,soft,6,0
34,0.8776503094134319,0.044821568115522424,DBiAA,soft,6,0
35,0.8689297642191316,0.03583194372396923,DSBM,soft,6,0
36,0.8734053992465837,0.028742703604512997,BiAA,hard,6,0
37,0.8658470237205096,0.028742703604512997,SBM,hard,6,0
38,0.8737571834476276,0.0475575253346322,DBiAA,hard,6,0
39,0.8737564713338604,0.03974022793108924,DSBM,hard,6,0
40,0.8805044613927521,0.04600856751381497,BiAA,soft,7,0
41,0.8814280729489344,0.041330775654501724,SBM,soft,7,0
42,0.9014149700556162,0.05110245965291274,DBiAA,soft,7,0
43,0.8746658406146967,0.0470688585581952,DSBM,soft,7,0
44,0.8830915707093365,0.039775910431175336,BiAA,hard,7,0
45,0.855560184295043,0.026706004101966555,SBM,hard,7,0
46,0.8749036866129732,0.04820594839537539,DBiAA,hard,7,0
47,0.8661471796734246,0.04253270363016404,DSBM,hard,7,0
48,0.8824186231992424,0.04576430718329018,BiAA,soft,8,0
49,0.8726637327579454,0.03822699030357369,SBM,soft,8,0
50,0.8915664366539198,0.051293466582247337,DBiAA,soft,8,0
51,0.8726555434496216,0.05871678658383015,DSBM,soft,8,0
52,0.869599507217273,0.030556911169274552,BiAA,hard,8,0
53,0.8533113290179238,0.02887130262986225,SBM,hard,8,0
54,0.8854515157341537,0.05587249275017999,DBiAA,hard,8,0
55,0.8655849658541448,0.041380016331215366,DSBM,hard,8,0
56,0.8977732202496671,0.049627879015610145,BiAA,soft,9,0
57,0.8821487320814373,0.051395423507625555,SBM,soft,9,0
58,0.888195290079543,0.050739446205444336,DBiAA,soft,9,0
59,0.8845471312496884,0.035605256842092634,DSBM,soft,9,0
60,0.8841625898153489,0.040250343121613776,BiAA,hard,9,0
61,0.8806921033704345,0.03489954828323262,SBM,hard,9,0
62,0.8791678238515385,0.04476459741219873,DBiAA,hard,9,0
63,0.8685537681499995,0.04461131339138032,DSBM,hard,9,0
64,0.7957283855668782,0.03464490368230097,BiAA,soft,2,1
65,0.7910636843342093,0.020133739471891794,SBM,soft,2,1
66,0.8024062324196913,0.022066878678493374,DBiAA,soft,2,1
67,0.7984105620713966,0.021774732590881286,DSBM,soft,2,1
68,0.7461866307761329,0.012736758133280275,BiAA,hard,2,1
69,0.726709251069951,0.01256335210002975,SBM,hard,2,1
70,0.7715823880023072,0.020207470450962668,DBiAA,hard,2,1
71,0.7642070257144282,0.019164002863309767,DSBM,hard,2,1
72,0.8663077613279497,0.036765961234716996,BiAA,soft,3,1
73,0.7841476354262357,0.020549828477143674,SBM,soft,3,1
74,0.8449123031895576,0.03593377607221127,DBiAA,soft,3,1
75,0.8500320451195283,0.027575120347009374,DSBM,soft,3,1
76,0.8076886923454891,0.018999599618555664,BiAA,hard,3,1
77,0.7981798372107928,0.017373838607901974,SBM,hard,3,1
78,0.8231280309342222,0.0269049063334008,DBiAA,hard,3,1
79,0.7789157355779159,0.020624212789897046,DSBM,hard,3,1
80,0.8468186317446076,0.03655248035577211,BiAA,soft,4,1
81,0.8288313500964913,0.02479032308556719,SBM,soft,4,1
82,0.8786750411245701,0.04504691427600487,DBiAA,soft,4,1
83,0.8438950486729759,0.03014829313843089,DSBM,soft,4,1
