,auc,prauc,model,assignment,k,iteration
0,0.8100824627742529,0.016775307229101845,BiSBM_VB,soft,2,0
1,0.8400930732693854,0.037730767266014965,BiSBM_VB,soft,3,0
2,0.8700613129953643,0.04029052197387063,BiSBM_VB,soft,4,0
3,0.8626311179474033,0.03746603602598926,BiSBM_VB,soft,5,0
4,0.8781081985658029,0.04420181396915476,BiSBM_VB,soft,6,0
5,0.8714798436198167,0.04499804866066622,BiSBM_VB,soft,7,0
6,0.8716012590171406,0.038020266397853705,BiSBM_VB,soft,8,0
7,0.8718544154614142,0.04153800294922427,BiSBM_VB,soft,9,0
8,0.7895009506718793,0.015678455937407274,BiSBM_VB,soft,2,1
9,0.8284913157726079,0.04186475287722461,BiSBM_VB,soft,3,1
10,0.8655977839019562,0.04164595445087224,BiSBM_VB,soft,4,1
11,0.8729788430999736,0.03457027875694175,BiSBM_VB,soft,5,1
12,0.8764507537724227,0.03456994021483658,BiSBM_VB,soft,6,1
13,0.8691822085496379,0.060003230453506445,BiSBM_VB,soft,7,1
14,0.8774352510557086,0.04284480272472277,BiSBM_VB,soft,8,1
15,0.8770435884836961,0.03586864432464911,BiSBM_VB,soft,9,1
16,0.8027118812501486,0.018390101382856825,BiSBM_VB,soft,2,2
17,0.8137235204696303,0.03434758124403341,BiSBM_VB,soft,3,2
18,0.8394229862162779,0.02845619083540004,BiSBM_VB,soft,4,2
19,0.8516012118095986,0.033947319319703795,BiSBM_VB,soft,5,2
20,0.8570593237975699,0.030762981224488065,BiSBM_VB,soft,6,2
21,0.8566445375313161,0.029488479687457613,BiSBM_VB,soft,7,2
22,0.8541601406240661,0.029469793492558745,BiSBM_VB,soft,8,2
23,0.8592337111776978,0.029490843730316886,BiSBM_VB,soft,9,2
24,0.7790916276784379,0.015670919630135848,BiSBM_VB,soft,2,3
25,0.8036389013508798,0.027632312102282855,BiSBM_VB,soft,3,3
26,0.8466509289524095,0.027187070594191343,BiSBM_VB,soft,4,3
27,0.879277489371702,0.03674052918723615,BiSBM_VB,soft,5,3
28,0.879579781665919,0.03115767916020922,BiSBM_VB,soft,6,3
29,0.869473107023578,0.032811373711049814,BiSBM_VB,soft,7,3
30,0.878267712049677,0.03674308888768525,BiSBM_VB,soft,8,3
31,0.8819151587657644,0.037441888578155155,BiSBM_VB,soft,9,3
32,0.8236614681561526,0.019478714242644024,BiSBM_VB,soft,2,4
33,0.8329743559831119,0.02978608589373632,BiSBM_VB,soft,3,4
34,0.8624130191039321,0.036712366509028496,BiSBM_VB,soft,4,4
35,0.8735866842086691,0.037517666407999146,BiSBM_VB,soft,5,4
36,0.8775624393753145,0.04109620781798898,BiSBM_VB,soft,6,4
37,0.8735859640936237,0.05081967298516705,BiSBM_VB,soft,7,4
38,0.8783462846024281,0.041860535422604234,BiSBM_VB,soft,8,4
39,0.8772941965208361,0.03677884244006704,BiSBM_VB,soft,9,4
40,0.8184003076331474,0.01826328518898314,BiSBM_VB,soft,2,5
41,0.8118825463556056,0.029909912172875898,BiSBM_VB,soft,3,5
42,0.8494361859250634,0.03405568310224659,BiSBM_VB,soft,4,5
43,0.8690171941869433,0.03585471507300662,BiSBM_VB,soft,5,5
44,0.839780883393931,0.03783459472711618,BiSBM_VB,soft,6,5
45,0.8659959515132138,0.03796335860042272,BiSBM_VB,soft,7,5
46,0.8814575416568551,0.0411447871598493,BiSBM_VB,soft,8,5
47,0.8662760762659443,0.03776692668822215,BiSBM_VB,soft,9,5
48,0.7903394646328696,0.016269218948039066,BiSBM_VB,soft,2,6
49,0.8167756200730629,0.024626215688734243,BiSBM_VB,soft,3,6
50,0.8435884836961554,0.02853857557862059,BiSBM_VB,soft,4,6
51,0.8434855832567811,0.024477731556030037,BiSBM_VB,soft,5,6
52,0.8510001637861664,0.035753323819998926,BiSBM_VB,soft,6,6
53,0.8578930689967028,0.028440612858270507,BiSBM_VB,soft,7,6
54,0.8552543314319896,0.02968591524913217,BiSBM_VB,soft,8,6
55,0.8625143312895667,0.03676857929055264,BiSBM_VB,soft,9,6
56,0.7811296732766027,0.014231824623811411,BiSBM_VB,soft,2,7
57,0.8376633851024039,0.028701534865696432,BiSBM_VB,soft,3,7
58,0.8720078319712358,0.03393115043299903,BiSBM_VB,soft,4,7
