,loss,step,model,assignment,k,iteration
0,3255.0517578125,0,BiAA,soft,2,0
1,3210.89794921875,20,BiAA,soft,2,0
2,3038.34130859375,40,BiAA,soft,2,0
3,2841.58740234375,60,BiAA,soft,2,0
4,2736.352783203125,80,BiAA,soft,2,0
5,2700.044677734375,100,BiAA,soft,2,0
6,2686.18701171875,120,BiAA,soft,2,0
7,2679.300537109375,140,BiAA,soft,2,0
8,2675.18701171875,160,BiAA,soft,2,0
9,2672.419189453125,180,BiAA,soft,2,0
10,2670.419921875,200,BiAA,soft,2,0
11,2668.91259765625,220,BiAA,soft,2,0
12,2667.7470703125,240,BiAA,soft,2,0
13,2666.830078125,260,BiAA,soft,2,0
14,2666.0966796875,280,BiAA,soft,2,0
15,2665.49951171875,300,BiAA,soft,2,0
16,2665.0048828125,320,BiAA,soft,2,0
17,2664.59326171875,340,BiAA,soft,2,0
18,2664.2421875,360,BiAA,soft,2,0
19,2663.93994140625,380,BiAA,soft,2,0
20,2663.6767578125,400,BiAA,soft,2,0
21,2663.4453125,420,BiAA,soft,2,0
22,2663.24072265625,440,BiAA,soft,2,0
23,2663.05859375,460,BiAA,soft,2,0
24,2662.8955078125,480,BiAA,soft,2,0
25,2662.75830078125,500,BiAA,soft,2,0
26,2662.61865234375,520,BiAA,soft,2,0
27,2662.49853515625,540,BiAA,soft,2,0
28,2662.3896484375,560,BiAA,soft,2,0
29,2662.29052734375,580,BiAA,soft,2,0
30,2662.199462890625,600,BiAA,soft,2,0
31,2662.115234375,620,BiAA,soft,2,0
32,2662.036865234375,640,BiAA,soft,2,0
33,2661.964111328125,660,BiAA,soft,2,0
34,2661.89794921875,680,BiAA,soft,2,0
35,2661.83447265625,700,BiAA,soft,2,0
36,2661.77685546875,720,BiAA,soft,2,0
37,2661.72412109375,740,BiAA,soft,2,0
38,2661.67578125,760,BiAA,soft,2,0
39,2661.631103515625,780,BiAA,soft,2,0
40,2661.5888671875,800,BiAA,soft,2,0
41,2661.55029296875,820,BiAA,soft,2,0
42,2661.5146484375,840,BiAA,soft,2,0
43,2661.48193359375,860,BiAA,soft,2,0
44,2661.452392578125,880,BiAA,soft,2,0
