,auc,prauc,model,assignment,alpha,iteration
0,0.8665718790971264,0.43288691232644577,BiAA,soft,0.0,0
1,0.8669178094326919,0.4251876729140842,SBM,soft,0.0,0
2,0.8770995003720634,0.42813583657438886,DBiAA,soft,0.0,0
3,0.8733695652173912,0.42237607958390483,DSBM,soft,0.0,0
4,0.8664091013784062,0.4297309902670711,BiAA,hard,0.0,0
5,0.8664091013784062,0.4297309902670711,SBM,hard,0.0,0
6,0.8726334112894654,0.43766936009126695,DBiAA,hard,0.0,0
7,0.8734572658658446,0.4332724866095196,DSBM,hard,0.0,0
8,0.8927367917508238,0.4693326589612528,BiAA,soft,0.0,1
9,0.8902421955281529,0.4496478007901555,SBM,soft,0.0,1
10,0.895746075617448,0.4538188698146166,DBiAA,soft,0.0,1
11,0.8934051769958543,0.4439493922963794,DSBM,soft,0.0,1
12,0.8996680220403246,0.45424541868566115,BiAA,hard,0.0,1
13,0.8918788313667129,0.417442207402843,SBM,hard,0.0,1
14,0.8975944332234862,0.4574966958845507,DBiAA,hard,0.0,1
15,0.8868435739343044,0.45122448926769787,DSBM,hard,0.0,1
16,0.8834608979129018,0.447570975700691,BiAA,soft,0.0,2
17,0.8781570018780341,0.44953625071026243,SBM,soft,0.0,2
18,0.8815753339711562,0.41841337297024384,DBiAA,soft,0.0,2
19,0.8814599500372062,0.4114588490587595,DSBM,soft,0.0,2
20,0.8846585875766274,0.43001312080693743,BiAA,hard,0.0,2
21,0.8788546206725487,0.3957588976294018,SBM,hard,0.0,2
22,0.8780646504376174,0.4250326060012433,DBiAA,hard,0.0,2
23,0.8682962155841395,0.40812072615988176,DSBM,hard,0.0,2
24,0.8954656993019382,0.4315630526407206,BiAA,soft,0.0,3
25,0.8950714893164664,0.43256896827249297,SBM,soft,0.0,3
26,0.8911922858863967,0.41501950288782846,DBiAA,soft,0.0,3
27,0.8905329807590093,0.4085127701115282,DSBM,soft,0.0,3
28,0.8952400251585698,0.4368466442423198,BiAA,hard,0.0,3
29,0.8831566032387229,0.40711924761208035,SBM,hard,0.0,3
30,0.8937608518479147,0.4271660772083783,DBiAA,hard,0.0,3
31,0.8899164186244287,0.4113726164921164,DSBM,hard,0.0,3
32,0.8607800928386662,0.3889639559810599,BiAA,soft,0.0,4
33,0.8611455122072216,0.3855416053402213,SBM,soft,0.0,4
34,0.8677872860635697,0.38941946867821536,DBiAA,soft,0.0,4
35,0.8573026292477233,0.3860059374968081,DSBM,soft,0.0,4
36,0.8717665922539953,0.3793771071953189,BiAA,hard,0.0,4
37,0.8582449682860281,0.3467543760242806,SBM,hard,0.0,4
38,0.8711801495340348,0.3917415349560468,DBiAA,hard,0.0,4
39,0.8712377307678679,0.38956948495640475,DSBM,hard,0.0,4
40,0.9070284539881649,0.45938679410787947,BiAA,soft,0.0,5
41,0.907485117465717,0.44638879620817834,SBM,soft,0.0,5
42,0.9078235179476277,0.44739871757510014,DBiAA,soft,0.0,5
43,0.901751798306226,0.44249877171513896,DSBM,soft,0.0,5
44,0.9031009709081889,0.46853242274727924,BiAA,hard,0.0,5
45,0.8929755324049466,0.44283832521024646,SBM,hard,0.0,5
46,0.9072999716523156,0.4395266844744932,DBiAA,hard,0.0,5
47,0.9056420750504944,0.44625570932239256,DSBM,hard,0.0,5
48,0.891092626058609,0.4395615623038464,BiAA,soft,0.0,6
49,0.8871184135927147,0.44370869362119725,SBM,soft,0.0,6
50,0.8926592785514332,0.42671168216657496,DBiAA,soft,0.0,6
51,0.8829393448141455,0.3979507663937061,DSBM,soft,0.0,6
52,0.8906299829913894,0.44007092263805647,BiAA,hard,0.0,6
53,0.8864139293433968,0.41979303622408376,SBM,hard,0.0,6
