,loss,step,model,assignment,alpha,iteration
0,6199.12109375,0,BiAA,soft,0.0,0
1,6139.1767578125,20,BiAA,soft,0.0,0
2,5992.20751953125,40,BiAA,soft,0.0,0
3,5765.3681640625,60,BiAA,soft,0.0,0
4,5511.56005859375,80,BiAA,soft,0.0,0
5,5278.529296875,100,BiAA,soft,0.0,0
6,5062.38232421875,120,BiAA,soft,0.0,0
7,4796.3681640625,140,BiAA,soft,0.0,0
8,4481.177734375,160,BiAA,soft,0.0,0
9,4333.5244140625,180,BiAA,soft,0.0,0
10,4282.7060546875,200,BiAA,soft,0.0,0
11,4256.248046875,220,BiAA,soft,0.0,0
12,4241.3994140625,240,BiAA,soft,0.0,0
13,4231.53125,260,BiAA,soft,0.0,0
14,4223.98876953125,280,BiAA,soft,0.0,0
15,4217.6455078125,300,BiAA,soft,0.0,0
16,4212.2607421875,320,BiAA,soft,0.0,0
17,4207.6083984375,340,BiAA,soft,0.0,0
18,4203.41162109375,360,BiAA,soft,0.0,0
19,4199.6044921875,380,BiAA,soft,0.0,0
20,4196.1318359375,400,BiAA,soft,0.0,0
21,4192.880859375,420,BiAA,soft,0.0,0
22,4189.8408203125,440,BiAA,soft,0.0,0
23,4186.697265625,460,BiAA,soft,0.0,0
24,4183.1923828125,480,BiAA,soft,0.0,0
25,4179.908203125,500,BiAA,soft,0.0,0
26,4176.7822265625,520,BiAA,soft,0.0,0
27,4173.5009765625,540,BiAA,soft,0.0,0
28,4170.6201171875,560,BiAA,soft,0.0,0
29,4167.8173828125,580,BiAA,soft,0.0,0
30,4165.31787109375,600,BiAA,soft,0.0,0
31,4162.8994140625,620,BiAA,soft,0.0,0
32,4160.5517578125,640,BiAA,soft,0.0,0
33,4158.34228515625,660,BiAA,soft,0.0,0
34,4156.310546875,680,BiAA,soft,0.0,0
35,4154.42041015625,700,BiAA,soft,0.0,0
36,4152.6494140625,720,BiAA,soft,0.0,0
37,4151.0263671875,740,BiAA,soft,0.0,0
38,4149.513671875,760,BiAA,soft,0.0,0
39,4148.09326171875,780,BiAA,soft,0.0,0
40,4146.7666015625,800,BiAA,soft,0.0,0
41,4145.5732421875,820,BiAA,soft,0.0,0
42,4144.513671875,840,BiAA,soft,0.0,0
43,4143.5322265625,860,BiAA,soft,0.0,0
44,4142.60546875,880,BiAA,soft,0.0,0
45,4141.7158203125,900,BiAA,soft,0.0,0
46,4140.83544921875,920,BiAA,soft,0.0,0
47,4139.8984375,940,BiAA,soft,0.0,0
48,4138.927734375,960,BiAA,soft,0.0,0
49,4137.828125,980,BiAA,soft,0.0,0
50,4136.3134765625,1000,BiAA,soft,0.0,0
51,4134.19189453125,1020,BiAA,soft,0.0,0
52,4131.966796875,1040,BiAA,soft,0.0,0
53,4130.123046875,1060,BiAA,soft,0.0,0
54,4128.603515625,1080,BiAA,soft,0.0,0
55,4127.17333984375,1100,BiAA,soft,0.0,0
56,4125.5927734375,1120,BiAA,soft,0.0,0
57,4123.59765625,1140,BiAA,soft,0.0,0
58,4121.4873046875,1160,BiAA,soft,0.0,0
59,4119.7939453125,1180,BiAA,soft,0.0,0
60,4118.43701171875,1200,BiAA,soft,0.0,0
61,4117.58251953125,1220,BiAA,soft,0.0,0
62,4116.8916015625,1240,BiAA,soft,0.0,0
63,4116.30615234375,1260,BiAA,soft,0.0,0
64,4115.7958984375,1280,BiAA,soft,0.0,0
65,4115.3447265625,1300,BiAA,soft,0.0,0
66,4114.94091796875,1320,BiAA,soft,0.0,0
67,4114.5732421875,1340,BiAA,soft,0.0,0
68,4114.234375,1360,BiAA,soft,0.0,0
69,4113.9189453125,1380,BiAA,soft,0.0,0
70,4113.623046875,1400,BiAA,soft,0.0,0
71,4113.34423828125,1420,BiAA,soft,0.0,0
72,4113.0810546875,1440,BiAA,soft,0.0,0
73,4112.8310546875,1460,BiAA,soft,0.0,0
74,4112.5947265625,1480,BiAA,soft,0.0,0
75,4112.369140625,1500,BiAA,soft,0.0,0
76,4112.15283203125,1520,BiAA,soft,0.0,0
77,4111.9462890625,1540,BiAA,soft,0.0,0
78,4111.74755859375,1560,BiAA,soft,0.0,0
79,4111.55078125,1580,BiAA,soft,0.0,0
80,4111.3515625,1600,BiAA,soft,0.0,0
81,4111.1689453125,1620,BiAA,soft,0.0,0
82,4110.9990234375,1640,BiAA,soft,0.0,0
83,4110.833984375,1660,BiAA,soft,0.0,0
84,4110.65673828125,1680,BiAA,soft,0.0,0
85,4110.4150390625,1700,BiAA,soft,0.0,0
86,4109.92236328125,1720,BiAA,soft,0.0,0
87,4108.8076171875,1740,BiAA,soft,0.0,0
88,4107.36181640625,1760,BiAA,soft,0.0,0
89,4106.31591796875,1780,BiAA,soft,0.0,0
90,4105.72265625,1800,BiAA,soft,0.0,0
91,4105.37646484375,1820,BiAA,soft,0.0,0
92,4105.1162109375,1840,BiAA,soft,0.0,0
93,4104.8388671875,1860,BiAA,soft,0.0,0
94,4104.49560546875,1880,BiAA,soft,0.0,0
95,4103.9921875,1900,BiAA,soft,0.0,0
96,4103.03125,1920,BiAA,soft,0.0,0
97,4100.25048828125,1940,BiAA,soft,0.0,0
98,4088.9677734375,1960,BiAA,soft,0.0,0
99,4068.627197265625,1980,BiAA,soft,0.0,0
100,4050.669921875,0,SBM,soft,0.0,0
101,4043.810546875,20,SBM,soft,0.0,0
102,4038.31103515625,40,SBM,soft,0.0,0
103,4032.5869140625,60,SBM,soft,0.0,0
104,4026.21240234375,80,SBM,soft,0.0,0
105,4019.4541015625,100,SBM,soft,0.0,0
106,4013.29296875,120,SBM,soft,0.0,0
107,4008.09912109375,140,SBM,soft,0.0,0
108,4002.7705078125,160,SBM,soft,0.0,0
109,3998.321044921875,180,SBM,soft,0.0,0
110,3996.077880859375,200,SBM,soft,0.0,0
111,3994.117431640625,220,SBM,soft,0.0,0
112,3991.814453125,240,SBM,soft,0.0,0
113,3988.396484375,260,SBM,soft,0.0,0
114,3982.8115234375,280,SBM,soft,0.0,0
115,3972.34326171875,300,SBM,soft,0.0,0
116,3950.398193359375,320,SBM,soft,0.0,0
117,3901.62939453125,340,SBM,soft,0.0,0
118,3811.99853515625,360,SBM,soft,0.0,0
119,3708.63818359375,380,SBM,soft,0.0,0
120,3634.805419921875,400,SBM,soft,0.0,0
121,3595.26318359375,420,SBM,soft,0.0,0
122,3574.574951171875,440,SBM,soft,0.0,0
123,3564.578125,460,SBM,soft,0.0,0
124,3558.325439453125,480,SBM,soft,0.0,0
125,3553.93994140625,500,SBM,soft,0.0,0
126,3550.7333984375,520,SBM,soft,0.0,0
127,3546.76416015625,540,SBM,soft,0.0,0
128,3543.482421875,560,SBM,soft,0.0,0
129,3541.90625,580,SBM,soft,0.0,0
130,3540.43212890625,600,SBM,soft,0.0,0
131,3539.428955078125,620,SBM,soft,0.0,0
132,3538.6240234375,640,SBM,soft,0.0,0
133,3537.8193359375,660,SBM,soft,0.0,0
134,3536.29248046875,680,SBM,soft,0.0,0
135,3533.56787109375,700,SBM,soft,0.0,0
136,3531.745361328125,720,SBM,soft,0.0,0
137,3530.560546875,740,SBM,soft,0.0,0
138,3529.515625,760,SBM,soft,0.0,0
139,3528.35693359375,780,SBM,soft,0.0,0
140,3526.655517578125,800,SBM,soft,0.0,0
141,3525.4072265625,820,SBM,soft,0.0,0
142,3524.03466796875,840,SBM,soft,0.0,0
143,3523.208251953125,860,SBM,soft,0.0,0
144,3522.649169921875,880,SBM,soft,0.0,0
145,3522.2255859375,900,SBM,soft,0.0,0
146,3521.45361328125,920,SBM,soft,0.0,0
147,3520.813720703125,940,SBM,soft,0.0,0
148,3520.52978515625,960,SBM,soft,0.0,0
149,3520.2431640625,980,SBM,soft,0.0,0
150,3519.522705078125,1000,SBM,soft,0.0,0
151,3518.67919921875,1020,SBM,soft,0.0,0
152,3518.341064453125,1040,SBM,soft,0.0,0
153,3518.0322265625,1060,SBM,soft,0.0,0
154,3517.558349609375,1080,SBM,soft,0.0,0
155,3517.316650390625,1100,SBM,soft,0.0,0
156,3516.949462890625,1120,SBM,soft,0.0,0
157,3516.736572265625,1140,SBM,soft,0.0,0
158,3516.560546875,1160,SBM,soft,0.0,0
159,3516.298583984375,1180,SBM,soft,0.0,0
160,3515.509765625,1200,SBM,soft,0.0,0
161,3515.14501953125,1220,SBM,soft,0.0,0
162,3514.625732421875,1240,SBM,soft,0.0,0
163,3514.34033203125,1260,SBM,soft,0.0,0
164,3513.947265625,1280,SBM,soft,0.0,0
165,3513.407470703125,1300,SBM,soft,0.0,0
166,3513.07958984375,1320,SBM,soft,0.0,0
167,3512.775634765625,1340,SBM,soft,0.0,0
168,3512.37158203125,1360,SBM,soft,0.0,0
169,3512.17236328125,1380,SBM,soft,0.0,0
170,3511.92578125,1400,SBM,soft,0.0,0
171,3511.576416015625,1420,SBM,soft,0.0,0
172,3511.39013671875,1440,SBM,soft,0.0,0
173,3511.158203125,1460,SBM,soft,0.0,0
174,3510.68603515625,1480,SBM,soft,0.0,0
175,3510.36767578125,1500,SBM,soft,0.0,0
176,3510.1904296875,1520,SBM,soft,0.0,0
177,3509.973388671875,1540,SBM,soft,0.0,0
178,3509.82373046875,1560,SBM,soft,0.0,0
179,3509.684326171875,1580,SBM,soft,0.0,0
180,3509.43994140625,1600,SBM,soft,0.0,0
181,3509.263671875,1620,SBM,soft,0.0,0
182,3509.150146484375,1640,SBM,soft,0.0,0
183,3509.032958984375,1660,SBM,soft,0.0,0
184,3508.91455078125,1680,SBM,soft,0.0,0
185,3508.8125,1700,SBM,soft,0.0,0
186,3508.701171875,1720,SBM,soft,0.0,0
187,3508.558837890625,1740,SBM,soft,0.0,0
188,3508.47314453125,1760,SBM,soft,0.0,0
189,3508.395751953125,1780,SBM,soft,0.0,0
190,3508.322265625,1800,SBM,soft,0.0,0
191,3508.251953125,1820,SBM,soft,0.0,0
192,3508.1845703125,1840,SBM,soft,0.0,0
193,3508.119384765625,1860,SBM,soft,0.0,0
194,3508.05712890625,1880,SBM,soft,0.0,0
195,3507.9970703125,1900,SBM,soft,0.0,0
196,3507.9384765625,1920,SBM,soft,0.0,0
197,3507.881103515625,1940,SBM,soft,0.0,0
198,3507.82275390625,1960,SBM,soft,0.0,0
199,3507.7548828125,1980,SBM,soft,0.0,0
200,6895.28271484375,0,DBiAA,soft,0.0,0
201,6432.888671875,20,DBiAA,soft,0.0,0
202,6074.712890625,40,DBiAA,soft,0.0,0
203,5808.462890625,60,DBiAA,soft,0.0,0
204,5598.37255859375,80,DBiAA,soft,0.0,0
205,5427.1435546875,100,DBiAA,soft,0.0,0
206,5302.8330078125,120,DBiAA,soft,0.0,0
207,5217.5126953125,140,DBiAA,soft,0.0,0
208,5154.1630859375,160,DBiAA,soft,0.0,0
209,5095.7587890625,180,DBiAA,soft,0.0,0
210,5025.4296875,200,DBiAA,soft,0.0,0
211,4914.0537109375,220,DBiAA,soft,0.0,0
212,4693.76708984375,240,DBiAA,soft,0.0,0
213,4340.1181640625,260,DBiAA,soft,0.0,0
214,4038.083251953125,280,DBiAA,soft,0.0,0
215,3868.876708984375,300,DBiAA,soft,0.0,0
216,3767.712890625,320,DBiAA,soft,0.0,0
217,3700.91064453125,340,DBiAA,soft,0.0,0
218,3655.30126953125,360,DBiAA,soft,0.0,0
219,3625.306396484375,380,DBiAA,soft,0.0,0
220,3605.580078125,400,DBiAA,soft,0.0,0
221,3591.66552734375,420,DBiAA,soft,0.0,0
222,3581.72216796875,440,DBiAA,soft,0.0,0
223,3574.1318359375,460,DBiAA,soft,0.0,0
224,3567.8115234375,480,DBiAA,soft,0.0,0
225,3561.88134765625,500,DBiAA,soft,0.0,0
226,3555.732666015625,520,DBiAA,soft,0.0,0
227,3548.642578125,540,DBiAA,soft,0.0,0
228,3541.06005859375,560,DBiAA,soft,0.0,0
229,3535.205078125,580,DBiAA,soft,0.0,0
230,3531.1787109375,600,DBiAA,soft,0.0,0
231,3527.83447265625,620,DBiAA,soft,0.0,0
232,3524.9599609375,640,DBiAA,soft,0.0,0
233,3522.434814453125,660,DBiAA,soft,0.0,0
234,3520.14794921875,680,DBiAA,soft,0.0,0
235,3518.0087890625,700,DBiAA,soft,0.0,0
236,3515.96142578125,720,DBiAA,soft,0.0,0
237,3513.963623046875,740,DBiAA,soft,0.0,0
238,3511.9677734375,760,DBiAA,soft,0.0,0
239,3509.90625,780,DBiAA,soft,0.0,0
240,3507.892822265625,800,DBiAA,soft,0.0,0
241,3505.93505859375,820,DBiAA,soft,0.0,0
242,3504.046875,840,DBiAA,soft,0.0,0
